*****************************
Basic coeficients
*****************************
Alpha, Cd
   16.00    ,   -.6666E-02,   -.6682E-02,   -.6089E-02,   -.3868E-02,     .000    ,    .5514E-02,    .1268E-01,    .1730E-01,    .2100E-01
   18.00    ,   -.9474E-02,   -.9344E-02,   -.7967E-02,   -.4807E-02,     .000    ,    .6453E-02,    .1455E-01,    .1969E-01,    .2377E-01
   19.00    ,   -.1083E-01,   -.1063E-01,   -.8872E-02,   -.5259E-02,     .000    ,    .6906E-02,    .1546E-01,    .2085E-01,    .2511E-01
   20.00    ,   -.1209E-01,   -.1183E-01,   -.9719E-02,   -.5683E-02,     .000    ,    .7329E-02,    .1631E-01,    .2193E-01,    .2636E-01
   21.00    ,   -.1342E-01,   -.1308E-01,   -.1061E-01,   -.6126E-02,     .000    ,    .7773E-02,    .1719E-01,    .2306E-01,    .2767E-01
   22.00    ,   -.1468E-01,   -.1428E-01,   -.1145E-01,   -.6548E-02,     .000    ,    .8195E-02,    .1804E-01,    .2413E-01,    .2891E-01
   24.00    ,   -.1718E-01,   -.1665E-01,   -.1312E-01,   -.7385E-02,     .000    ,    .9031E-02,    .1971E-01,    .2626E-01,    .3138E-01

Single slotted flaps
DeltaFlap, CL
    .000    ,     .000    
   5.000    ,    .8315E-01
   10.00    ,    .1661    
   15.00    ,    .2445    
   20.00    ,    .3199    
   25.00    ,    .3913    
   30.00    ,    .4492    
   35.00    ,    .4929    
   40.00    ,    .5226    

Single slotted flaps
DeltaFlap, Cm
    .000    ,     .000    
   5.000    ,   -.2019E-01
   10.00    ,   -.4184E-01
   15.00    ,   -.6159E-01
   20.00    ,   -.8348E-01
   25.00    ,   -.1021    
   30.00    ,   -.1173    
   35.00    ,   -.1331    
   40.00    ,   -.1412    

Cd_Flaps for Single slotted flaps
Alpha, DeltaFlap
            ,     .000    ,    5.000    ,    10.00    ,    15.00    ,    20.00    ,    25.00    ,    30.00    ,    35.00    ,    40.00    
  -16.00    ,     .000    ,   -.9880E-02,   -.1867E-01,   -.2601E-01,   -.3216E-01,   -.3719E-01,   -.4069E-01,   -.4299E-01,   -.4438E-01
  -8.000    ,     .000    ,   -.4726E-02,   -.8377E-02,   -.1085E-01,   -.1234E-01,   -.1294E-01,   -.1284E-01,   -.1243E-01,   -.1198E-01
  -6.000    ,     .000    ,   -.3438E-02,   -.5804E-02,   -.7065E-02,   -.7382E-02,   -.6873E-02,   -.5882E-02,   -.4789E-02,   -.3877E-02
  -4.000    ,     .000    ,   -.2150E-02,   -.3231E-02,   -.3277E-02,   -.2426E-02,   -.8088E-03,    .1080E-02,    .2850E-02,    .4223E-02
  -2.000    ,     .000    ,   -.8615E-03,   -.6577E-03,    .5119E-03,    .2530E-02,    .5255E-02,    .8041E-02,    .1049E-01,    .1232E-01
    .000    ,     .000    ,    .4268E-03,    .1916E-02,    .4300E-02,    .7487E-02,    .1132E-01,    .1500E-01,    .1813E-01,    .2042E-01
   2.000    ,     .000    ,    .1715E-02,    .4489E-02,    .8089E-02,    .1244E-01,    .1738E-01,    .2196E-01,    .2577E-01,    .2852E-01
   4.000    ,     .000    ,    .3003E-02,    .7062E-02,    .1188E-01,    .1740E-01,    .2345E-01,    .2893E-01,    .3341E-01,    .3663E-01
   8.000    ,     .000    ,    .5580E-02,    .1221E-01,    .1945E-01,    .2731E-01,    .3558E-01,    .4285E-01,    .4869E-01,    .5283E-01
   9.000    ,     .000    ,    .6224E-02,    .1350E-01,    .2135E-01,    .2979E-01,    .3861E-01,    .4633E-01,    .5251E-01,    .5688E-01
   10.00    ,     .000    ,    .6868E-02,    .1478E-01,    .2324E-01,    .3227E-01,    .4164E-01,    .4981E-01,    .5632E-01,    .6093E-01
   12.00    ,     .000    ,    .8157E-02,    .1736E-01,    .2703E-01,    .3722E-01,    .4770E-01,    .5677E-01,    .6396E-01,    .6903E-01
   14.00    ,     .000    ,    .9445E-02,    .1993E-01,    .3082E-01,    .4218E-01,    .5377E-01,    .6373E-01,    .7160E-01,    .7713E-01
   16.00    ,     .000    ,    .1073E-01,    .2250E-01,    .3461E-01,    .4714E-01,    .5983E-01,    .7069E-01,    .7924E-01,    .8523E-01
   18.00    ,     .000    ,    .1202E-01,    .2507E-01,    .3840E-01,    .5209E-01,    .6590E-01,    .7766E-01,    .8688E-01,    .9333E-01
   19.00    ,     .000    ,    .1267E-01,    .2636E-01,    .4029E-01,    .5457E-01,    .6893E-01,    .8114E-01,    .9070E-01,    .9738E-01
   20.00    ,     .000    ,    .1331E-01,    .2765E-01,    .4219E-01,    .5705E-01,    .7196E-01,    .8462E-01,    .9452E-01,    .1014    
   21.00    ,     .000    ,    .1395E-01,    .2893E-01,    .4408E-01,    .5953E-01,    .7499E-01,    .8810E-01,    .9834E-01,    .1055    
   22.00    ,     .000    ,    .1460E-01,    .3022E-01,    .4597E-01,    .6201E-01,    .7802E-01,    .9158E-01,    .1022    ,    .1095    
   24.00    ,     .000    ,    .1589E-01,    .3279E-01,    .4976E-01,    .6696E-01,    .8409E-01,    .9854E-01,    .1098    ,    .1176    

*****************************
Aileron terms
*****************************
CN_Ail for Plain flap aileron
Alpha, DeltaAil
            ,   -64.00    ,   -40.00    ,   -20.00    ,   -10.00    ,     .000    ,    10.00    ,    20.00    ,    40.00    ,    64.00    
  -16.00    ,   -.6414E-02,   -.5377E-02,   -.3440E-02,   -.1720E-02,     .000    ,    .1720E-02,    .3440E-02,    .5377E-02,    .6414E-02
  -8.000    ,   -.3123E-02,   -.2618E-02,   -.1675E-02,   -.8373E-03,     .000    ,    .8373E-03,    .1675E-02,    .2618E-02,    .3123E-02
  -6.000    ,   -.2014E-02,   -.1689E-02,   -.1080E-02,   -.5401E-03,     .000    ,    .5401E-03,    .1080E-02,    .1689E-02,    .2014E-02
  -4.000    ,   -.9099E-03,   -.7628E-03,   -.4879E-03,   -.2440E-03,     .000    ,    .2440E-03,    .4879E-03,    .7628E-03,    .9099E-03
  -2.000    ,    .1816E-03,    .1522E-03,    .9738E-04,    .4869E-04,     .000    ,   -.4869E-04,   -.9738E-04,   -.1522E-03,   -.1816E-03
    .000    ,    .1278E-02,    .1071E-02,    .6852E-03,    .3426E-03,     .000    ,   -.3426E-03,   -.6852E-03,   -.1071E-02,   -.1278E-02
   2.000    ,    .2384E-02,    .1999E-02,    .1278E-02,    .6392E-03,     .000    ,   -.6392E-03,   -.1278E-02,   -.1999E-02,   -.2384E-02
   4.000    ,    .3491E-02,    .2926E-02,    .1872E-02,    .9359E-03,     .000    ,   -.9359E-03,   -.1872E-02,   -.2926E-02,   -.3491E-02
   8.000    ,    .5452E-02,    .4571E-02,    .2924E-02,    .1462E-02,     .000    ,   -.1462E-02,   -.2924E-02,   -.4571E-02,   -.5452E-02
   9.000    ,    .5810E-02,    .4870E-02,    .3115E-02,    .1558E-02,     .000    ,   -.1558E-02,   -.3115E-02,   -.4870E-02,   -.5810E-02
   10.00    ,    .6109E-02,    .5121E-02,    .3276E-02,    .1638E-02,     .000    ,   -.1638E-02,   -.3276E-02,   -.5121E-02,   -.6109E-02
